       0   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000
    1000   0.0000000000E+000   0.3757983871E-005   0.3834892674E-008   0.1817638388E-005   0.5049670680E-005   0.2052572135E-005   0.0000000000E+000
    2000   0.0000000000E+000   0.2205419238E-005   0.3167982207E-008   0.1558992019E-005   0.4882155342E-005   0.1983286755E-005   0.0000000000E+000
    3000   0.0000000000E+000   0.1820486083E-005   0.2826863290E-008   0.1419899749E-005   0.4330019370E-005   0.1714249719E-005   0.0000000000E+000
    4000   0.0000000000E+000   0.1496030191E-005   0.2818220562E-008   0.1336409158E-005   0.4191915797E-005   0.1636196253E-005   0.0000000000E+000
    5000   0.0000000000E+000   0.1358555967E-005   0.2694135903E-008   0.1246908374E-005   0.3829807246E-005   0.1485797737E-005   0.0000000000E+000
    6000   0.0000000000E+000   0.1215594542E-005   0.2565084040E-008   0.6380074468E-006   0.3103384163E-005   0.1180764788E-005   0.0000000000E+000
    7000   0.0000000000E+000   0.1096412098E-005   0.2424012479E-008   0.5948400380E-006   0.2491824040E-005   0.9384229010E-006   0.0000000000E+000
    8000   0.0000000000E+000   0.9888109812E-006   0.2295971183E-008   0.5263132232E-006   0.2312634061E-005   0.8723585050E-006   0.0000000000E+000
    9000   0.0000000000E+000   0.8885547863E-006   0.2206954962E-008   0.4804953517E-006   0.1957056148E-005   0.7466579957E-006   0.0000000000E+000
   10000   0.0000000000E+000   0.7892307386E-006   0.2162710295E-008   0.4166009885E-006   0.1965800735E-005   0.7647366947E-006   0.0000000000E+000
