   0.000000000000000E+000   0.000000000000000E+000   0.200451956167927E+000   0.100000000000878E+001   0.000000000000000E+000   0.199698698504347E+000   0.900000000015341E+000   0.602608326158118E-003   0.199849347841769E+000   0.151557556482945E+001
   0.200000000000000E-002   0.000000000000000E+000   0.200428034750742E+000   0.100000000002128E+001   0.000000000000000E+000   0.199714646780989E+000   0.900000000000804E+000   0.570713132578739E-003   0.199857321618164E+000   0.151555311362460E+001
   0.400000000000000E-002   0.000000000000000E+000   0.200392614793321E+000   0.100000000000006E+001   0.000000000000000E+000   0.199738254309552E+000   0.900000000007799E+000   0.523486289545404E-003   0.199869128503776E+000   0.151551987179519E+001
   0.600000000000000E-002   0.000000000000000E+000   0.200360458127376E+000   0.100000000002414E+001   0.000000000000000E+000   0.199759690842676E+000   0.899999999997804E+000   0.480610686870852E-003   0.199879847440505E+000   0.151548969415568E+001
   0.800000000000000E-002   0.000000000000000E+000   0.200344117148474E+000   0.100000000000789E+001   0.000000000000000E+000   0.199770587393416E+000   0.900000000008150E+000   0.458822816035450E-003   0.199885294332438E+000   0.151547435947392E+001
   0.100000000000000E-001   0.000000000000000E+000   0.200344585170694E+000   0.100000000003233E+001   0.000000000000000E+000   0.199770277216768E+000   0.899999999993383E+000   0.459446922099953E-003   0.199885138248594E+000   0.151547479872571E+001
   0.120000000000000E-001   0.000000000000000E+000   0.200356686182483E+000   0.100000000000808E+001   0.000000000000000E+000   0.199762210248016E+000   0.900000000004394E+000   0.475581617425938E-003   0.199881104565057E+000   0.151548615457772E+001
   0.140000000000000E-001   0.000000000000000E+000   0.200375285477616E+000   0.100000000002311E+001   0.000000000000000E+000   0.199749810549716E+000   0.899999999993819E+000   0.500380672783540E-003   0.199874904804833E+000   0.151550360892523E+001
   0.160000000000000E-001   0.000000000000000E+000   0.200397358151857E+000   0.100000000001202E+001   0.000000000000000E+000   0.199735095282517E+000   0.899999999997838E+000   0.529810898315106E-003   0.199867547253542E+000   0.151552432343647E+001
   0.180000000000000E-001   0.000000000000000E+000   0.200421591436222E+000   0.100000000001766E+001   0.000000000000000E+000   0.199718939722851E+000   0.899999999993344E+000   0.562121943481386E-003   0.199859469492740E+000   0.151554706636967E+001
   0.200000000000000E-001   0.000000000000000E+000   0.200447559406154E+000   0.100000000001587E+001   0.000000000000000E+000   0.199701627782302E+000   0.899999999993434E+000   0.596745904960821E-003   0.199850813501193E+000   0.151557143818074E+001
   0.220000000000000E-001   0.000000000000000E+000   0.200475193880395E+000   0.100000000001813E+001   0.000000000000000E+000   0.199683204876311E+000   0.899999999991411E+000   0.633591874074836E-003   0.199841602006321E+000   0.151559737505665E+001
   0.240000000000000E-001   0.000000000000000E+000   0.200504549465018E+000   0.100000000001885E+001   0.000000000000000E+000   0.199663634583836E+000   0.899999999989964E+000   0.672732657747512E-003   0.199831816807270E+000   0.151562492843667E+001
   0.260000000000000E-001   0.000000000000000E+000   0.200535720423970E+000   0.100000000002012E+001   0.000000000000000E+000   0.199642854057048E+000   0.899999999987882E+000   0.714293941255689E-003   0.199821426482714E+000   0.151565418700687E+001
   0.280000000000000E-001   0.000000000000000E+000   0.200568815992478E+000   0.100000000002132E+001   0.000000000000000E+000   0.199620790472213E+000   0.899999999985656E+000   0.758421371469395E-003   0.199810394621009E+000   0.151568525353555E+001
   0.300000000000000E-001   0.000000000000000E+000   0.200603954198648E+000   0.100000000002295E+001   0.000000000000000E+000   0.199597365145252E+000   0.899999999983221E+000   0.805272319262355E-003   0.199798681879386E+000   0.151571823907937E+001
   0.320000000000000E-001   0.000000000000000E+000   0.200641260743875E+000   0.100000000002508E+001   0.000000000000000E+000   0.199572494277176E+000   0.899999999980657E+000   0.855014386558059E-003   0.199786246357317E+000   0.151575326193719E+001
   0.340000000000000E-001   0.000000000000000E+000   0.200680869119877E+000   0.100000000002779E+001   0.000000000000000E+000   0.199546088875780E+000   0.899999999977928E+000   0.907825562414690E-003   0.199773043557463E+000   0.151579044776537E+001
   0.360000000000000E-001   0.000000000000000E+000   0.200722921014528E+000   0.100000000003106E+001   0.000000000000000E+000   0.199518054485064E+000   0.899999999974979E+000   0.963894764109553E-003   0.199759026250418E+000   0.151582992996482E+001
   0.380000000000000E-001   0.000000000000000E+000   0.200767566797332E+000   0.100000000003490E+001   0.000000000000000E+000   0.199488290861595E+000   0.899999999971732E+000   0.102342248444890E-002   0.199744144312883E+000   0.151587185014350E+001
   0.400000000000000E-001   0.000000000000000E+000   0.200814966043835E+000   0.100000000003930E+001   0.000000000000000E+000   0.199456691624947E+000   0.899999999968110E+000   0.108662149097223E-002   0.199728344552862E+000   0.151591635861644E+001
   0.420000000000000E-001   0.000000000000000E+000   0.200865288092818E+000   0.100000000004428E+001   0.000000000000000E+000   0.199423143886280E+000   0.899999999964048E+000   0.115371756888737E-002   0.199711570523931E+000   0.151596361493757E+001
   0.440000000000000E-001   0.000000000000000E+000   0.200918712636737E+000   0.100000000004991E+001   0.000000000000000E+000   0.199387527854764E+000   0.899999999959473E+000   0.122495030831234E-002   0.199693762328425E+000   0.151601378846380E+001
   0.460000000000000E-001   0.000000000000000E+000   0.200975430347014E+000   0.100000000005625E+001   0.000000000000000E+000   0.199349716420775E+000   0.899999999954316E+000   0.130057393801466E-002   0.199674856408999E+000   0.151606705895314E+001
   0.480000000000000E-001   0.000000000000000E+000   0.201035643536128E+000   0.100000000006340E+001   0.000000000000000E+000   0.199309574714564E+000   0.899999999948505E+000   0.138085820819514E-002   0.199654785327933E+000   0.151612361719885E+001
